País,Clics,Impresiones,CTR,Posición
Colombia,230,3626,6.34%,8.23
Estados Unidos,11,351,3.13%,6.79
España,8,83,9.64%,7.41
Canadá,3,18,16.67%,6.33
Chile,2,14,14.29%,8.64
México,1,47,2.13%,5.36
Panamá,1,31,3.23%,2.81
Venezuela,1,14,7.14%,4.86
Puerto Rico,1,14,7.14%,7.57
Australia,1,7,14.29%,7.14
República Dominicana,1,5,20%,8
Portugal,1,3,33.33%,2
Argentina,0,26,0%,15.19
Perú,0,21,0%,4.57
Costa Rica,0,14,0%,6.5
Guatemala,0,8,0%,7.5
Ecuador,0,7,0%,5
Brasil,0,7,0%,6.57
Reino Unido,0,6,0%,7.5
Paraguay,0,5,0%,7.2
Alemania,0,5,0%,9.2
Francia,0,4,0%,6.5
Italia,0,4,0%,7
Honduras,0,3,0%,5.67
Países Bajos,0,3,0%,7
Emiratos Árabes Unidos,0,3,0%,7.67
Uruguay,0,2,0%,1
Bélgica,0,2,0%,7
Curazao,0,2,0%,10.5
Israel,0,1,0%,1
Malta,0,1,0%,1
Nicaragua,0,1,0%,1
Chequia,0,1,0%,3
Rusia,0,1,0%,3
El Salvador,0,1,0%,3
Vietnam,0,1,0%,6
Aruba,0,1,0%,7
Dinamarca,0,1,0%,7
Bahamas,0,1,0%,8
Irlanda,0,1,0%,8
Malasia,0,1,0%,8
Croacia,0,1,0%,9
Jordania,0,1,0%,10
Corea del Sur,0,1,0%,10
Indonesia,0,1,0%,24
