Páginas principales,Clics,Impresiones,CTR,Posición
https://creacionesvane.com/anchetas-medellin-domicilio,73,1121,6.51%,7.5
https://creacionesvane.com/refrigerios-empresariales-medellin,49,597,8.21%,5.12
https://creacionesvane.com/decoracion-bodas-medellin,32,782,4.09%,12.66
https://creacionesvane.com/,31,781,3.97%,5.95
https://creacionesvane.com/refrigerios,30,380,7.89%,7.07
https://creacionesvane.com/decoraciones,24,406,5.91%,9.35
https://creacionesvane.com/creaciones-vane,15,415,3.61%,7.8
https://creacionesvane.com/decoracion-primera-comunion-medellin,8,187,4.28%,7.09
http://creacionesvane.com/,0,15,0%,2.93
https://creacionesvane.com/producto/jardin-de-gala-explosion-de-girasoles,0,12,0%,7.5
https://creacionesvane.com/producto/croissant-edicion-especial-delicia-frescura,0,9,0%,7.44
https://creacionesvane.com/producto/clasico-romantico-rosas-y-ternura,0,7,0%,7.86
https://creacionesvane.com/producto/paw-patrol-rescue-mission---medellin,0,6,0%,7.17
https://creacionesvane.com/producto/celebracion-real-rosas-baileys-hersheys,0,6,0%,7.83
https://creacionesvane.com/producto/declaracion-romantica-oso-y-nutella,0,4,0%,6.25
https://creacionesvane.com/producto/capibara-party-premium---medellin,0,3,0%,8
https://creacionesvane.com/images/refrigeriosEmpresariales.webp,0,1,0%,13
